198,Guntur,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
199,Gurdaspur,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
200,Gurugram,13,1,1,1,1,03/11/18 00:00,03/11/18 00:00
201,Gwalior,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
202,Hailakandi,4,1,1,1,1,03/11/18 00:00,03/11/18 00:00
203,Hamirpur (HP),14,1,1,1,1,03/11/18 00:00,03/11/18 00:00
204,Hamirpur (UP),34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
205,Hanamkonda,32,1,1,1,1,03/11/18 00:00,03/11/18 00:00
206,Hanumangarh,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
207,Hardoi,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
208,Haridwar,35,1,1,1,1,03/11/18 00:00,03/11/18 00:00
209,Hassan,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
210,Hathras,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
211,Haveri,17,1,1,1,1,03/11/18 00:00,03/11/18 00:00
212,Hazaribagh,16,1,1,1,1,03/11/18 00:00,03/11/18 00:00
213,Hindupur,2,1,1,1,1,03/11/18 00:00,03/11/18 00:00
214,Hingoli,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
215,Hissar,13,1,1,1,1,03/11/18 00:00,03/11/18 00:00
216,Hooghly,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
217,Hoshangabad,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
218,Hoshiarpur,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
219,Howrah,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
220,Hut Bay,1,1,1,1,1,03/11/18 00:00,03/11/18 00:00
221,Hyderabad City,32,1,1,1,1,03/11/18 00:00,03/11/18 00:00
222,Hyderabad South East,32,1,1,1,1,03/11/18 00:00,03/11/18 00:00
223,Idukki,18,1,1,1,1,03/11/18 00:00,03/11/18 00:00
224,Imphal East,22,1,1,1,1,03/11/18 00:00,03/11/18 00:00
225,Imphal West,22,1,1,1,1,03/11/18 00:00,03/11/18 00:00
226,Indore City,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
227,Indore Moffusil,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
228,Irinjalakuda,18,1,1,1,1,03/11/18 00:00,03/11/18 00:00
229,Jabalpur,20,1,1,1,1,03/11/18 00:00,03/11/18 00:00
230,Jaintia Hills,23,1,1,1,1,03/11/18 00:00,03/11/18 00:00
231,Jaipur,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
232,Jaisalmer,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
233,Jalandhar,28,1,1,1,1,03/11/18 00:00,03/11/18 00:00
234,Jalaun,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
235,Jalgaon,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
236,Jalna,21,1,1,1,1,03/11/18 00:00,03/11/18 00:00
237,Jalor,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
238,Jalpaiguri,36,1,1,1,1,03/11/18 00:00,03/11/18 00:00
239,Jammu,15,1,1,1,1,03/11/18 00:00,03/11/18 00:00
240,Jamnagar,12,1,1,1,1,03/11/18 00:00,03/11/18 00:00
241,Jaunpur,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
242,Jhalawar,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
243,Jhansi,34,1,1,1,1,03/11/18 00:00,03/11/18 00:00
244,Jhujhunu,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
245,Jodhpur,29,1,1,1,1,03/11/18 00:00,03/11/18 00:00
